No.,Status Sertifikat,Penggunaan,Kategori Luas,Jenis Nadzir,Kelurahan
345,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
346,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
347,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
348,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
349,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
350,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
351,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
352,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
353,BELUM,MASJID,SEDANG,Perorangan,Banyurip
354,BELUM,MUSHOLLAH,SEDANG,Perorangan,Banyurip
355,BELUM,MUSHOLLAH,BESAR,Perorangan,Banyurip
356,BELUM,MASJID,BESAR,Perorangan,Banyurip
357,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
358,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
359,BELUM,MASJID,SEDANG,Perorangan,Kuripan Kertoharjo
360,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
361,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kuripan Kertoharjo
362,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
363,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
364,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
365,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
366,BELUM,MASJID,BESAR,Perorangan,Kuripan Kertoharjo
367,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
368,BELUM,PENDIDIKAN,SEDANG,Perorangan,Buaran Kradenan
369,BELUM,PENDIDIKAN,BESAR,Perorangan,Jenggot
370,BELUM,PENDIDIKAN,BESAR,Perorangan,Jenggot
371,BELUM,PENDIDIKAN,BESAR,Perorangan,Jenggot
372,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
373,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
374,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
375,BELUM,SOSIAL & KESEHATAN,SEDANG,Perorangan,Kuripan Yosorejo
376,BELUM,MASJID,BESAR,Perorangan,Kuripan Kertoharjo
377,BELUM,MASJID,SEDANG,Perorangan,Kuripan Kertoharjo
378,BELUM,MASJID,BESAR,Perorangan,Kuripan Kertoharjo
379,BELUM,PENDIDIKAN,BESAR,Perorangan,Kuripan Kertoharjo
380,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kuripan Kertoharjo
381,BELUM,MUSHOLLAH,SEDANG,Perorangan,Banyurip
382,BELUM,PENDIDIKAN,SEDANG,Perorangan,Buaran Kradenan
383,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
384,BELUM,PENDIDIKAN,SEDANG,Perorangan,Sokoduwet
385,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
386,BELUM,PENDIDIKAN,BESAR,Perorangan,Banyurip
387,BELUM,MASJID,BESAR,Perorangan,Banyurip
388,BELUM,PENDIDIKAN,SEDANG,Perorangan,Buaran Kradenan
389,BELUM,PENDIDIKAN,SEDANG,Perorangan,Buaran Kradenan
390,BELUM,PENDIDIKAN,SEDANG,Perorangan,Sokoduwet
391,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kuripan Kertoharjo
392,BELUM,MASJID,KECIL,Perorangan,Buaran Kradenan
393,BELUM,PENDIDIKAN,BESAR,Perorangan,Sokoduwet
394,BELUM,PENDIDIKAN,SEDANG,Perorangan,Buaran Kradenan
395,BELUM,LAHAN PRODUKTIF,SEDANG,Perorangan,Kuripan Yosorejo
396,BELUM,MASJID,BESAR,Perorangan,Buaran Kradenan
397,BELUM,PENDIDIKAN,SEDANG,Perorangan,Buaran Kradenan
398,SUDAH,PENDIDIKAN,KECIL,Perorangan,Banyurip
399,SUDAH,PENDIDIKAN,KECIL,Perorangan,Banyurip
400,BELUM,MUSHOLLAH,SEDANG,Perorangan,Buaran Kradenan
401,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
402,SUDAH,PENDIDIKAN,BESAR,Organisasi,Jenggot
403,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Kuripan Kertoharjo
404,BELUM,PENDIDIKAN,BESAR,Badan Hukum,Kuripan Kertoharjo
405,SUDAH,PENDIDIKAN,BESAR,Organisasi,Buaran Kradenan
406,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Buaran Kradenan
407,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Buaran Kradenan
408,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Banyurip
409,SUDAH,MASJID,BESAR,Badan Hukum,Buaran Kradenan
410,BELUM,PENDIDIKAN,SEDANG,Badan Hukum,Banyurip
411,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Buaran Kradenan
412,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Buaran Kradenan
413,SUDAH,SOSIAL & KESEHATAN,BESAR,Badan Hukum,Buaran Kradenan
414,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
415,SUDAH,SOSIAL & KESEHATAN,BESAR,Perorangan,Kuripan Kertoharjo
416,SUDAH,PENDIDIKAN,BESAR,Perorangan,Jenggot
417,SUDAH,SOSIAL & KESEHATAN,KECIL,Badan Hukum,Buaran Kradenan
418,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Buaran Kradenan
419,SUDAH,SOSIAL & KESEHATAN,BESAR,Badan Hukum,Kuripan Kertoharjo
420,SUDAH,SOSIAL & KESEHATAN,SEDANG,Perorangan,Jenggot
421,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Buaran Kradenan
422,SUDAH,SOSIAL & KESEHATAN,BESAR,Badan Hukum,Buaran Kradenan
423,BELUM,PENDIDIKAN,BESAR,Perorangan,Kuripan Kertoharjo
424,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kuripan Kertoharjo
425,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
426,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
427,BELUM,SOSIAL & KESEHATAN,SEDANG,Perorangan,Jenggot
428,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
429,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
430,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
431,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
432,SUDAH,SOSIAL & KESEHATAN,BESAR,Perorangan,Buaran Kradenan
433,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Kertoharjo
434,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
435,BELUM,PENDIDIKAN,KECIL,Perorangan,Jenggot
436,SUDAH,PENDIDIKAN,BESAR,Perorangan,Banyurip
437,SUDAH,PENDIDIKAN,KECIL,Perorangan,Banyurip
438,SUDAH,PENDIDIKAN,BESAR,Perorangan,Banyurip
439,SUDAH,PENDIDIKAN,BESAR,Perorangan,Kuripan Kertoharjo
440,SUDAH,MASJID,KECIL,Perorangan,Buaran Kradenan
441,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
442,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
443,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Banyurip
444,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
445,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
446,SUDAH,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
447,SUDAH,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
448,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
449,SUDAH,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
450,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Kuripan Yosorejo
451,SUDAH,PENDIDIKAN,KECIL,Perorangan,Buaran Kradenan
452,SUDAH,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
453,SUDAH,MASJID,BESAR,Perorangan,Banyurip
454,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
455,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Jenggot
456,BELUM,MASJID,BESAR,Perorangan,Sokoduwet
457,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Jenggot
458,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Jenggot
459,BELUM,PENDIDIKAN,BESAR,Badan Hukum,Jenggot
460,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Kuripan Yosorejo
461,BELUM,SOSIAL & KESEHATAN,BESAR,Perorangan,Kuripan Kertoharjo
462,SUDAH,SOSIAL & KESEHATAN,BESAR,Perorangan,Kuripan Kertoharjo
463,SUDAH,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
464,SUDAH,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
465,SUDAH,MASJID,SEDANG,Perorangan,Jenggot
466,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Kertoharjo
467,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Banyurip
468,SUDAH,SOSIAL & KESEHATAN,BESAR,Perorangan,Sokoduwet
469,SUDAH,MUSHOLLAH,KECIL,Badan Hukum,Kuripan Kertoharjo
470,SUDAH,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
471,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Banyurip
472,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Buaran Kradenan
473,BELUM,PENDIDIKAN,BESAR,Badan Hukum,Jenggot
474,BELUM,PENDIDIKAN,KECIL,Perorangan,Buaran Kradenan
475,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Kuripan Yosorejo
476,BELUM,MUSHOLLAH,SEDANG,Perorangan,Banyurip
477,BELUM,PENDIDIKAN,SEDANG,Perorangan,Banyurip
478,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
479,SUDAH,MASJID,KECIL,Perorangan,Kuripan Yosorejo
480,SUDAH,MASJID,SEDANG,Perorangan,Kuripan Yosorejo
481,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
482,BELUM,MASJID,SEDANG,Perorangan,Sokoduwet
483,BELUM,MASJID,SEDANG,Perorangan,Sokoduwet
484,BELUM,PENDIDIKAN,BESAR,Perorangan,Sokoduwet
485,BELUM,MASJID,BESAR,Perorangan,Banyurip
486,BELUM,MAKAM,BESAR,Perorangan,Banyurip
487,BELUM,SOSIAL & KESEHATAN,SEDANG,Perorangan,Sokoduwet
488,SUDAH,MUSHOLLAH,SEDANG,Badan Hukum,Buaran Kradenan
489,SUDAH,MUSHOLLAH,KECIL,Perorangan,Jenggot
490,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
491,BELUM,MASJID,KECIL,Badan Hukum,Kuripan Kertoharjo
492,SUDAH,MUSHOLLAH,KECIL,Perorangan,Banyurip
493,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Kuripan Kertoharjo
494,SUDAH,PENDIDIKAN,KECIL,Perorangan,Banyurip
495,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
496,BELUM,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
497,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
498,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Buaran Kradenan
499,BELUM,MUSHOLLAH,SEDANG,Perorangan,Banyurip
500,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Banyurip
501,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Kuripan Kertoharjo
502,SUDAH,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
503,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
504,BELUM,SOSIAL & KESEHATAN,BESAR,Perorangan,Kuripan Yosorejo
505,BELUM,MAKAM,SEDANG,Perorangan,Kuripan Yosorejo
506,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
507,SUDAH,SOSIAL & KESEHATAN,SEDANG,Perorangan,Jenggot
508,BELUM,MASJID,KECIL,Perorangan,Sokoduwet
509,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Kuripan Kertoharjo
510,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Sokoduwet
511,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Sokoduwet
512,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Sokoduwet
513,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Sokoduwet
514,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Sokoduwet
515,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
516,BELUM,MASJID,SEDANG,Perorangan,Sokoduwet
517,BELUM,MASJID,SEDANG,Perorangan,Sokoduwet
518,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Kuripan Kertoharjo
519,BELUM,MUSHOLLAH,SEDANG,Perorangan,Buaran Kradenan
520,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Sokoduwet
521,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Kuripan Yosorejo
522,BELUM,MASJID,SEDANG,Perorangan,Jenggot
523,BELUM,MASJID,BESAR,Perorangan,Jenggot
524,BELUM,PENDIDIKAN,BESAR,Badan Hukum,Sokoduwet
525,BELUM,PENDIDIKAN,BESAR,Badan Hukum,Sokoduwet
526,BELUM,PENDIDIKAN,SEDANG,Badan Hukum,Sokoduwet
527,BELUM,PENDIDIKAN,BESAR,Badan Hukum,Sokoduwet
528,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
529,BELUM,MAKAM,BESAR,Perorangan,Kuripan Yosorejo
530,SUDAH,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
531,SUDAH,MAKAM,BESAR,Perorangan,Kuripan Kertoharjo
532,SUDAH,PENDIDIKAN,BESAR,Perorangan,Kuripan Kertoharjo
533,SUDAH,MASJID,SEDANG,Perorangan,Sokoduwet
534,SUDAH,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
535,BELUM,PENDIDIKAN,BESAR,Badan Hukum,Kuripan Kertoharjo
536,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Jenggot
537,SUDAH,MASJID,KECIL,Perorangan,Kuripan Yosorejo
538,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Kuripan Yosorejo
539,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
540,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Kertoharjo
541,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
542,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
543,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Banyurip
544,SUDAH,PENDIDIKAN,BESAR,Perorangan,Kuripan Kertoharjo
545,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Kertoharjo
546,SUDAH,MUSHOLLAH,KECIL,Perorangan,Banyurip
547,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
548,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
549,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
550,BELUM,MUSHOLLAH,SEDANG,Perorangan,Banyurip
551,BELUM,MUSHOLLAH,KECIL,Perorangan,Banyurip
552,SUDAH,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
553,BELUM,MASJID,SEDANG,Perorangan,Banyurip
554,SUDAH,MUSHOLLAH,KECIL,Badan Hukum,Kuripan Kertoharjo
555,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Buaran Kradenan
556,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kuripan Kertoharjo
557,BELUM,PENDIDIKAN,KECIL,Badan Hukum,Sokoduwet
558,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Jenggot
559,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Sokoduwet
560,BELUM,PENDIDIKAN,KECIL,Badan Hukum,Sokoduwet
561,SUDAH,MUSHOLLAH,KECIL,Perorangan,Jenggot
562,BELUM,MASJID,BESAR,Perorangan,Kuripan Kertoharjo
563,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Jenggot
564,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Jenggot
565,SUDAH,MUSHOLLAH,KECIL,Perorangan,Jenggot
566,SUDAH,MUSHOLLAH,KECIL,Perorangan,Jenggot
567,SUDAH,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
568,SUDAH,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
569,SUDAH,MASJID,KECIL,Badan Hukum,Kuripan Yosorejo
570,BELUM,MASJID,SEDANG,Badan Hukum,Kuripan Yosorejo
571,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
572,BELUM,MASJID,SEDANG,Badan Hukum,Kuripan Kertoharjo
573,BELUM,PENDIDIKAN,SEDANG,Perorangan,Banyurip
574,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Kuripan Kertoharjo
575,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Kuripan Kertoharjo
576,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Kuripan Kertoharjo
577,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Kuripan Kertoharjo
578,SUDAH,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
579,SUDAH,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
580,BELUM,MASJID,BESAR,Perorangan,Sokoduwet
581,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Jenggot
582,SUDAH,PENDIDIKAN,KECIL,Perorangan,Jenggot
583,BELUM,MASJID,BESAR,Perorangan,Sokoduwet
584,SUDAH,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
585,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Poncol
586,SUDAH,PENDIDIKAN,KECIL,Perorangan,Kauman
587,BELUM,SOSIAL & KESEHATAN,BESAR,Perorangan,Noyontaansari
588,SUDAH,MASJID,KECIL,Badan Hukum,Klego
589,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Kauman
590,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Klego
591,SUDAH,MUSHOLLAH,KECIL,Perorangan,Setono
592,BELUM,MUSHOLLAH,KECIL,Badan Hukum,Kauman
593,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
594,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
595,BELUM,MUSHOLLAH,KECIL,Perorangan,Gamer
596,BELUM,MUSHOLLAH,KECIL,Perorangan,Gamer
597,BELUM,MUSHOLLAH,KECIL,Perorangan,Klego
598,BELUM,MUSHOLLAH,KECIL,Perorangan,Klego
599,BELUM,MUSHOLLAH,KECIL,Perorangan,Klego
600,BELUM,MUSHOLLAH,KECIL,Perorangan,Klego
601,BELUM,MUSHOLLAH,KECIL,Perorangan,Klego
602,BELUM,MUSHOLLAH,KECIL,Perorangan,Klego
603,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
604,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
605,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
606,BELUM,MASJID,BESAR,Perorangan,Kauman
607,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
608,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
609,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
610,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
611,BELUM,MUSHOLLAH,SEDANG,Perorangan,Setono
612,BELUM,MUSHOLLAH,KECIL,Perorangan,Setono
613,BELUM,PENDIDIKAN,BESAR,Perorangan,Setono
614,BELUM,MUSHOLLAH,KECIL,Perorangan,Setono
615,BELUM,MUSHOLLAH,SEDANG,Perorangan,Setono
616,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
617,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
618,BELUM,MUSHOLLAH,KECIL,Perorangan,Poncol
619,BELUM,MUSHOLLAH,KECIL,Perorangan,Poncol
620,BELUM,MASJID,SEDANG,Perorangan,Kalibaros
621,SUDAH,MUSHOLLAH,KECIL,Perorangan,Kalibaros
622,SUDAH,MASJID,BESAR,Perorangan,Kalibaros
623,SUDAH,MASJID,BESAR,Perorangan,Kalibaros
624,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
625,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
626,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
627,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
628,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
629,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
630,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
631,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
632,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
633,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
634,BELUM,MUSHOLLAH,KECIL,Perorangan,Setono
635,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
636,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
637,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
638,BELUM,PENDIDIKAN,SEDANG,Perorangan,Noyontaansari
639,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
640,BELUM,MUSHOLLAH,BESAR,Perorangan,Noyontaansari
641,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kauman
642,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
643,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
644,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
645,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
646,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
647,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
648,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
649,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
650,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
651,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
652,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
653,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kauman
654,BELUM,MUSHOLLAH,KECIL,Perorangan,Kauman
655,BELUM,MASJID,BESAR,Perorangan,Setono
656,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
657,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
658,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
659,BELUM,MUSHOLLAH,KECIL,Perorangan,Noyontaansari
660,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
661,BELUM,MASJID,BESAR,Perorangan,Kalibaros
662,BELUM,MUSHOLLAH,KECIL,Perorangan,Gamer
663,BELUM,MUSHOLLAH,KECIL,Perorangan,Gamer
664,BELUM,MUSHOLLAH,KECIL,Perorangan,Gamer
665,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Poncol
666,SUDAH,SOSIAL & KESEHATAN,SEDANG,Badan Hukum,Poncol
667,SUDAH,SOSIAL & KESEHATAN,SEDANG,Badan Hukum,Poncol
668,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Kauman
669,SUDAH,SOSIAL & KESEHATAN,SEDANG,Badan Hukum,Kauman
670,BELUM,MASJID,SEDANG,Perorangan,Kalibaros
671,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
672,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
673,BELUM,MUSHOLLAH,KECIL,Perorangan,Kalibaros
674,BELUM,PENDIDIKAN,BESAR,Perorangan,Kalibaros
675,BELUM,MASJID,SEDANG,Perorangan,Kalibaros
676,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kalibaros
677,BELUM,MASJID,BESAR,Perorangan,Kalibaros
678,SUDAH,SOSIAL & KESEHATAN,SEDANG,Badan Hukum,Poncol
679,BELUM,MUSHOLLAH,KECIL,Perorangan,Poncol
